NAME                                TYPE      SIGNATURE RESULT/VALUE FLAGS
org.freedesktop.DBus.Introspectable interface -         -            -
.Introspect                         method    -         s            -
org.freedesktop.DBus.Peer           interface -         -            -
.GetMachineId                       method    -         s            -
.Ping                               method    -         -            -
org.freedesktop.DBus.Properties     interface -         -            -
.Get                                method    ss        v            -
.GetAll                             method    s         a{sv}        -
.Set                                method    ssv       -            -
.PropertiesChanged                  signal    sa{sv}as  -            -
org.speech.Service                  interface -         -            -
.AddCorrection                      method    ss        b            -
.AddIgnoredCommand                  method    ss        -            -
.ClearIgnoredCommands               method    -         u            -
.CorrectIgnoredCommand              method    ss        b            -
.DownloadVoice                      method    s         s            -
.ExportFingerprint                  method    s         b            -
.GetDefaultSink                     method    -         us           -
.GetFingerprintPath                 method    -         s            -
.GetFingerprintStats                method    -         uuu          -
.GetIgnoredCommands                 method    -         a(sss)       -
.GetPlaybackStatus                  method    -         bs           -
.GetStatus                          method    -         bdsu         -
.GetSttBackend                      method    -         s            -
.GetVersion                         method    -         s            -
.GetVolume                          method    -         d            -
.GetWyomingInfo                     method    -         sqsb         -
.ImportFingerprint                  method    sb        u            -
.ListChannels                       method    -         a(ss)        -
.ListDownloadableVoices             method    -         a(ss)        -
.ListPatterns                       method    -         a(sss)       -
.ListSinks                          method    -         a(ussb)      -
.ListVoices                         method    -         a(ss)        -
.Listen                             method    -         s            -
.ListenVad                          method    -         s            -
.Ping                               method    -         s            -
.PlayAudio                          method    s         s            -
.PlayAudioChannel                   method    ss        s            -
.RollbackLastCorrection             method    -         b            -
.SetVolume                          method    d         b            -
.Speak                              method    s         -            -
.SpeakChannel                       method    sss       b            -
.SpeakToDevice                      method    ssu       b            -
.SpeakVoice                         method    ss        -            -
.StopAudio                          method    -         b            -
.Think                              method    s         s            -
.TrainWord                          method    su        sb           -
